strategy,start,end,annual_return_arithmetic,cagr,annual_volatility,sharpe,sortino,calmar,max_drawdown,daily_skewness,daily_excess_kurtosis,daily_var_95,daily_cvar_95,worst_day,worst_month,worst_year,positive_month_share,positive_year_share,period
Skew,1990-06-12,1999-12-31,0.06352692528689072,0.059846490640453,0.10391406356428642,0.6113409783805615,0.8931585317856248,0.2736168716953717,-0.21872368567638045,-0.008866422432862361,1.4449743835275353,-0.010521457956101129,-0.013938462620015725,-0.04066500413720334,-0.09222222037671601,-0.0967887016860659,0.5652173913043478,0.6,1990-1999
Trend,1990-10-17,1999-12-31,0.1008892966648188,0.09514873122827949,0.14127265589249668,0.7141459614208135,1.0234456269077237,0.40840990838658,-0.2329736112528802,-0.18004516640851156,0.9551450112761186,-0.014344670491715264,-0.019567633809552825,-0.039871417923079404,-0.07592284324553211,-0.12747199511153595,0.5765765765765766,0.7,1990-1999
50% skew / 50% trend,1990-06-12,1999-12-31,0.08035597661051465,0.07993730312011826,0.0829780105445619,0.9684008580485413,1.4225206054089676,0.711793719247714,-0.11230402988748345,-0.07186651372510365,2.519537147478184,-0.008098312625766532,-0.0116077724102545,-0.03029096829301546,-0.04098477156411284,-0.06160830712668863,0.6,0.8,1990-1999
Skew,2000-01-03,2009-12-31,0.05075477930288054,0.04511997410656021,0.11506099784740072,0.44111193412553146,0.6291037278978767,0.18927283164298084,-0.2383858988894325,-0.0837910974465037,3.0356618208619333,-0.011595469630757353,-0.016507087743422303,-0.04447223243907852,-0.1004038962322783,-0.11433887587933367,0.55,0.6,2000-2009
Trend,2000-01-03,2009-12-31,0.10440170076327823,0.09751181155525024,0.1505861039637566,0.6933023566929247,0.9969156384251734,0.42802900524166604,-0.22781589649560052,-0.11108231591723325,1.4079777998404577,-0.015868242027128818,-0.021803571493181892,-0.038391509360127786,-0.11753706148195076,-0.07689046109830044,0.5916666666666667,0.7,2000-2009
50% skew / 50% trend,2000-01-03,2009-12-31,0.0775782400330794,0.07470789160216773,0.10505637202729949,0.7384439281124257,1.0564884163937143,0.5169529455349743,-0.14451584471552914,-0.15975063214692967,2.470617933406251,-0.010539171628651185,-0.015227118377109529,-0.03675703295025337,-0.08724140593737162,-0.0353372278143923,0.5333333333333333,0.8,2000-2009
Skew,2010-01-04,2019-12-31,0.04610960847470703,0.044302248150477785,0.07420966738127992,0.6213423412586081,0.8748004557940446,0.30503920595885314,-0.1452346035691351,-0.5323296100191863,5.874385928761789,-0.00711641317442837,-0.01115823252085998,-0.04707518084618383,-0.07249499170038876,-0.07131107426762295,0.5916666666666667,0.8,2010-2019
Trend,2010-01-04,2019-12-31,0.014170984418123762,0.011296132403594727,0.07664886483491332,0.18488185635423687,0.2588053773823611,0.057898440387159605,-0.1951025334716947,-0.14238169604679626,3.7468569207565983,-0.007950075141238463,-0.011828767339414608,-0.026631752831065995,-0.05488358646195657,-0.039533520990214455,0.4583333333333333,0.5,2010-2019
50% skew / 50% trend,2010-01-04,2019-12-31,0.030140296446415395,0.029231899622535806,0.05146955328324408,0.5855946773143564,0.8019740731765829,0.3074305470998807,-0.09508456429685463,-0.649010245274063,4.026947457841863,-0.005213928252928926,-0.008188099067075561,-0.019600175389436862,-0.0636920937155665,-0.019538138223428314,0.5416666666666666,0.7,2010-2019
Skew,2020-01-01,2024-03-28,0.0667769940047653,0.06383437533478897,0.09880382305973838,0.6758543539797125,0.9336933532012341,0.3590998206996829,-0.17776220330718018,-0.6667321958061226,4.826961891441356,-0.009374232596306733,-0.015580527842854226,-0.03864530338116076,-0.07147464225929179,-0.10751070630775794,0.5294117647058824,0.8,2020-2024
Trend,2020-01-01,2024-03-28,0.15625674358815517,0.15985063896585694,0.1258200845316547,1.241906204162842,1.803582948563196,0.7596788656565104,-0.2104186995220867,-0.39132205810175325,5.740575204060319,-0.012376788309249919,-0.019079279747151276,-0.05754854305261933,-0.10380627446350044,-0.033204219666692625,0.6862745098039216,0.8,2020-2024
50% skew / 50% trend,2020-01-01,2024-03-28,0.11151686879646024,0.11316834214602967,0.09250280482280164,1.2055512155559167,1.7318889768865737,0.6502917942558047,-0.17402701855640013,-0.6260407801144865,6.2396097932010175,-0.00912377972952,-0.014297126784239889,-0.045781262193316186,-0.08080645485086402,0.0008098758398920047,0.6470588235294118,1.0,2020-2024
