crisis,strategy,start,end,total_return,annual_volatility,max_drawdown,worst_day
Dot-com and recession,Skew,2000-03-01,2002-12-31,0.33457752620365566,0.10848198742007478,-0.10481739408824453,-0.036279802074796176
Dot-com and recession,Trend,2000-03-01,2002-12-31,0.7733222758728799,0.1453965163857279,-0.10523104267336414,-0.02856008673172768
Dot-com and recession,50% skew / 50% trend,2000-03-01,2002-12-31,0.5494079139825894,0.10689189162457122,-0.10231717800720741,-0.03241332436292004
Global financial crisis,Skew,2007-07-01,2009-06-30,0.08792857684724575,0.14819261126404593,-0.2383858988894324,-0.033322176994788476
Global financial crisis,Trend,2007-07-01,2009-06-30,0.2169854672487923,0.20122875837357485,-0.22781589649560052,-0.038391509360127786
Global financial crisis,50% skew / 50% trend,2007-07-01,2009-06-30,0.167218089818423,0.13126003160137412,-0.09976619348015914,-0.025215145612870905
Euro-area crisis,Skew,2010-04-01,2012-12-31,-0.06724796013097123,0.08138517609848461,-0.1452346035691343,-0.020075515082113336
Euro-area crisis,Trend,2010-04-01,2012-12-31,0.20679103447591984,0.08909204566642195,-0.12132377387741611,-0.026631752831065995
Euro-area crisis,50% skew / 50% trend,2010-04-01,2012-12-31,0.06786126548160687,0.05264426274859913,-0.06946157381533336,-0.019600175389436862
COVID shock,Skew,2020-02-01,2020-06-30,-0.11207272308764848,0.1315283599165437,-0.16149131409236428,-0.03864530338116076
COVID shock,Trend,2020-02-01,2020-06-30,0.07907318740211311,0.11247025296020605,-0.0643452049807729,-0.03544548471227761
COVID shock,50% skew / 50% trend,2020-02-01,2020-06-30,-0.0179112330288822,0.04522220704930573,-0.05254352201197421,-0.010812295234032316
Inflation/rate shock,Skew,2022-01-01,2022-12-31,0.32537633410207945,0.1116779593635524,-0.10003201967771347,-0.03401398133401304
Inflation/rate shock,Trend,2022-01-01,2022-12-31,0.47299796195968313,0.18582429467771713,-0.15111940243913458,-0.05754854305261933
Inflation/rate shock,50% skew / 50% trend,2022-01-01,2022-12-31,0.40025305786906373,0.13883329203989384,-0.12263449330842369,-0.045781262193316186
