,start,end,observations
SP500,1990-01-02,2024-03-28,8867
NASDAQ,1999-12-15,2024-03-28,6287
US2,2000-03-03,2024-03-28,6192
US5,1990-01-02,2024-03-28,8710
US10,1990-01-02,2024-03-28,8704
US20,1990-01-02,2024-03-28,8709
CRUDE_W,1990-10-17,2024-03-28,8602
GOLD,1990-01-02,2024-03-28,8687
COPPER,1995-09-05,2024-03-28,7621
CORN,1990-01-02,2024-03-28,8689
WHEAT,1990-01-02,2024-03-28,8711
SOYBEAN,1990-01-02,2024-03-28,8621
EUR,1999-06-16,2024-03-28,6245
JPY,1990-01-02,2024-03-28,8733
GBP,1990-01-02,2024-03-28,8783
