instrument,asset_class,annual_return_contribution,share_of_total_annual_return,annual_contribution_volatility,average_absolute_weight,annual_turnover
CRUDE_W,Energy,0.009041194159710038,0.16541410413397767,0.022707725149663745,0.07720348987154683,1.0070581208231069
SP500,Equity indices,0.005874730673392904,0.10748174347345862,0.019788828010311198,0.11602690742887727,1.6219053891094566
COPPER,Metals,0.0053144546522406215,0.09723115550139072,0.020015730741195212,0.06842240662051717,0.8656993419577225
NASDAQ,Equity indices,0.005089744155224686,0.09311994133025472,0.015243902677069033,0.05956313025299707,0.7837689068000409
GOLD,Metals,0.005078189873277838,0.09290854876823386,0.026071970402780673,0.15343756474100853,2.029564575894015
CORN,Agriculture,0.004392412993854882,0.08036184684571025,0.021964298193118747,0.1003327703326846,1.4693923958401576
JPY,Currencies,0.004373073875402682,0.08000802600114007,0.03053701633667155,0.24897900519100674,2.73749350070958
WHEAT,Agriculture,0.004289998220099425,0.07848810674549918,0.020588914843491877,0.0804785708821174,1.0791946697309494
SOYBEAN,Agriculture,0.0039690739027025326,0.07261660265884014,0.01882529574153091,0.08868775755551361,1.4504831123932898
US2,Government bonds,0.0027226868205823345,0.04981319871118206,0.014839577516207184,0.9603475830424294,7.896384546272586
EUR,Currencies,0.0018740007905395407,0.03428597555119928,0.012277016379788966,0.09715111543533124,1.4459401412340167
US10,Government bonds,0.0016207576123382537,0.02965273875634312,0.018373478064684003,0.2529725070901752,3.0279862386387504
US20,Government bonds,0.0005224923051632485,0.009559312082979032,0.017611709946695402,0.15433109068349093,1.965151028561077
GBP,Currencies,0.0004312502479162703,0.007889983574792892,0.020336281209310893,0.18512610225618734,2.645525753034073
US5,Government bonds,6.387960149047836e-05,0.0011687158649982875,0.01918989558992194,0.43325268736918426,4.753013713096501
