excluded_market,annual_return,sharpe,max_drawdown,return_change_vs_all_markets,sharpe_change_vs_all_markets
CRUDE_W,0.04786989656186431,0.4921022294800529,-0.253229174848719,-0.006788043322071433,-0.06504288412691961
JPY,0.04866462640339123,0.49364855088639625,-0.2783707182185905,-0.005993313480544507,-0.06349656272057624
SP500,0.04765225573097658,0.49932960281344524,-0.24595078650812774,-0.007005684152959157,-0.05781551079352726
WHEAT,0.04896189723099849,0.5050100767746578,-0.2537302842900896,-0.005696042652937251,-0.052135036832314685
SOYBEAN,0.05137975688467979,0.528449098315164,-0.2733137082689203,-0.0032781829992559464,-0.02869601529180854
CORN,0.05118562051956135,0.5321954583366134,-0.28085714351518243,-0.0034723193643743863,-0.024949655270359083
COPPER,0.05208145370402048,0.5345797039670646,-0.24467978200870066,-0.002576486179915259,-0.02256540963990794
NASDAQ,0.051434049423624804,0.5404823656732982,-0.21950821041474355,-0.0032238904603109353,-0.016662747933674282
US2,0.060205917121819705,0.5445737591265046,-0.3172332309202722,0.005547977237883965,-0.012571354480467867
EUR,0.05415552843094522,0.545326820831415,-0.2541110264103734,-0.0005024114529905213,-0.01181829277555746
GBP,0.055139133955497466,0.5533674441251233,-0.243261689117238,0.00048119407156172606,-0.0037776694818492107
GOLD,0.056525642125058624,0.5759767290045998,-0.25599193487048677,0.0018677022411228844,0.018831615397627344
US20,0.05451497621458156,0.5760494188629007,-0.24113248526845754,-0.00014296366935417915,0.018904305255928233
US10,0.05445806831583979,0.5778976692402924,-0.22948083124437957,-0.00019987156809594953,0.020752555633319902
US5,0.055798037463076246,0.582603644758518,-0.2513469829774576,0.001140097579140506,0.025458531151545505
